Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Chance Precipitation (%),Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
India,11/01/2021,85,76.6,80.4,,82.3,0,0,0,0,7.4,134.7,15.9,15,0,30.8,Clear
India,11/02/2021,85,71.7,78.2,,82.4,0,0,0,0,6.3,152.3,15.9,15,0.6,34.3,Clear
India,11/03/2021,86.3,72.8,78.4,,83.1,0,0,0,0,4.7,182.4,13,15,23.5,33.3,Clear
India,11/04/2021,84.1,70.1,76.6,,81.4,0,0,0,0,4.2,250.4,8.1,15,1.4,29.4,Clear
India,11/05/2021,85,69.3,76.5,,82.1,0,0,0,0,4.8,316.3,12.3,15,11.2,26.9,Clear
India,11/06/2021,86.8,69.9,77.2,,83.4,0,0,0,0,6.6,296.8,17,15,55.7,26.9,Partially cloudy
India,11/07/2021,85.2,69.7,76.7,,82.2,0,0,0,0,4.6,190.4,13.9,15,38.6,29.9,Partially cloudy
India,11/08/2021,85.4,70.8,77.5,,82.4,0,0,0,0,3.6,215.2,12.3,15,57.2,32.7,Partially cloudy
India,11/09/2021,86.1,71.1,77.7,,82.9,0,0,0,0,3.7,262.9,10.5,15,97.7,27.7,Overcast
India,11/10/2021,87,71.1,77.8,,83.5,0,0,0,0,4.5,331,12.1,15,32.3,25.9,Partially cloudy
India,11/11/2021,86.8,69.2,76.7,,83.3,0,0,0,0,6.5,315.1,17,15,34.1,23.5,Partially cloudy
India,11/12/2021,86.4,68.6,76.2,,83,0,0,0,0,6.1,315.6,14.3,15,58.5,20.4,Partially cloudy
India,11/13/2021,85.9,67.9,75.6,,82.6,0,0,0,0,4.8,318.2,12.3,15,20.9,20,Clear
India,11/14/2021,85.9,67.7,75.6,,82.6,0,0,0,0,4.8,280.6,12.1,15,1.5,19.6,Clear
India,11/15/2021,85,70.2,75.9,,81.9,4.8,0,0,0,4.2,180.5,7.8,15,1.7,21.9,Clear
India,11/16/2021,83.7,70.1,76.2,,81.1,4.8,0,0,0,3.8,67.6,7.4,15,0.7,29.2,Clear
